100 Year Punch, PDT, 1 oz. Elijah Craig 12-Year-Old Bourbon Whiskey," 1 oz. Bek Se Ju ""100-year Wine""", .25 oz. Ssal-Yut Rice Syrup, 2 dashes Fee Brothers Old Fashioned Bitters, 1 oz. Q Tonic Water,,,,,,,,,
Archangel, PDT, 2.25 oz. Plymouth Gin, .75 oz. Aperol, 2 slices Cucumber,,,,,,,,,,,
Applejack Rabbit, PDT, 2 oz. Laird's Bonded Apple Brandy, .75 oz. Lemon Juice, .75 oz. Orange Juice, .5 oz. Deep Mountain Grade B Maple Syrup,,,,,,,,,,
Albert Mathieu, PDT, 1.5 oz. Plymouth Gin, .75 oz. Lillet Blanc, .75 oz. Green Chartreuse, 1 barspoon St. Germain Elderflower Liqueur, 1 dash Regan's Orange Bitters,,,,,,,,,
Apricot Flip, PDT, 2 oz. Hine V.S.O.P. Cognac, .75 oz. Rothman & Winter Orchard Apricot Liqueur, .5 oz. Simple Syrup, 1 Whole Organic Egg,,,,,,,,,,
Aperol Spritz, PDT, 2 oz. Aperol, 1 oz. Carpenè Malvolti Prosecco, 1 oz. Club Soda, .5 oz. Orange Juice,,,,,,,,,,
Apple Malt Toddy, PDT, 2 oz. Red Jacket Orchards Apple Cider, 1.5 oz. Chivas Regal 12-Year-Old Blended Scotch Whisky, 1 oz. Drouhin Pommeau, .25 oz. St. Elizabeth Allspice Dram, 1 barspoon Deep Mountain Grade B Maple Syrup,,,,,,,,,
Águil A Azteca, PDT, 1.5 oz. Jose Cuervo Tradicional Tequila, 1 oz. Honeydew Melon Juice, .25 oz. Canton Ginger Liqueur, .25 oz. Rothman & Winter Crème De Violette,,,,,,,,,,
Apple Daiquiri, PDT, 2 oz. Flor De Caña Silver Dry Rum, .75 oz. Lime Juice, .5 oz. Schönauer Apfel Schnapps, .25 oz. Simple Syrup,,,,,,,,,,
Against All Odds Cocktail, PDT, Ilegal Reposado Mezcal, 1.5 oz. Bushmills Irish Whiskey, 1.5 oz. Channing Daughters Scuttlehole Chardonnay, .5 oz. Rothman & Winter Orchard Apricot Liqueur, .25 oz. Rhum Clément Creole Shrub,,,,,,,,,
#8, PDT, 2 oz. Don Julio Reposado Tequila, .75 oz. Lustau Palo Cortado Sherry, .5 oz. Bärenjäger Honey Liqueur Honey Liqueur, 2 dashes House Orange Bitters,,,,,,,,,,
Bijou, PDT, 1 oz. Tanqueray Gin, 1 oz. Dolin Sweet Vermouth, 1 oz. Green Chartreuse, 1 dash House Orange Bitters,,,,,,,,,,
Bizet, PDT, 1.5 oz. Shinn Estate Rosé, .5 oz. Amaro Luxardo, .5 oz. Amaro Ciociaro, 1 oz. Moët Imperial Champagne,,,,,,,,,,
Desert Rose, PDT, 2 oz. Rose-Infused Plymouth Gin, .75 oz. Lemon Juice, .5 oz. Perfect Purées Of Napa Valley Prickly Pear Purée, .5 oz. Simple Syrup,,,,,,,,,,
#3 Cup, PDT, 1 oz. Hine V.S.O.P. Cognac, 1 oz. House Ginger Beer, .75 oz. Martini Sweet Vermouth, .5 oz. Marie Brizard Orange Curaçao, .5 oz. Cherry Heering, .5 oz. Lemon Juice, 4-5 Mint Leaves, 2 slices Cucumber, 2 slices Orange,,,,,
212, PDT, 2 oz. Partida Reposado Tequila, 2 oz. Ruby Red Grapefruit Juice, 1 oz. Aperol,,,,,,,,,,,
21st Century, PDT, Pernod, 2 oz. Siete Leguas Blanco Tequila, .75 oz. Marie Brizard White Crème De Cacao, .75 oz. Lemon Juice,,,,,,,,,,
18th Century, Death & Co, 1.5 ounces Van Oosten Batavia Arrack, .75 ounce Marie Brizard White Crème De Cacao, .75 ounce Carpano Antica Formula Vermouth, .75 ounce Lime Juice,,,,,,,,,,
209 East Cocktail, The Craft of the Cocktail, 1.5 ounces Sauza Hornitos Tequila, 1 ounce Cointreau, .5 ounce Marie Brizard Strawberry Liqueur, 1 ounce Lime Juice,,,,,,,,,,
Fog Cutter, PDT, 1.5 oz. Lemon Juice, 1 oz. Bacardi 8 Rum, 1 oz. Hine V.S.O.P. Cognac, .75 oz. Orange Juice, .5 oz. Tanqueray Gin, .5 oz. Kassatly Chtaura Orgeat, .5 oz. Lustau Cream Sherry,,,,,,,
Flying Dutchman, PDT, .75 oz. Clear Creek Plum Brandy, .75 oz. Bols Genever, .5 oz. Crème Yvette, .5 oz. Lemon Juice, .5 oz. Pineapple Juice, 1 barspoon Luxardo Maraschino Liqueur,,,,,,,,
Flora Astoria, PDT, 2 oz. Hendrick's Gin, .5 oz. Dolin Blanc Vermouth, .5 oz. Dolin Dry Vermouth, 1 barspoon John D. Taylor's Velvet Falernum, 4 dashes Lavender Tincture,,,,,,,,,
